Error Rate,Throughput (bytes/s),Completion Time (s),Retransmissions,ACK Efficiency (%),Retransmission Overhead (%)
0.0,8827.971983990605,45.93399262428284,6801,12.359550561797752,6869.69696969697
0.05,9126.483213538184,44.43157243728638,6610,13.12997347480106,6676.767676767676
0.1,9383.51313102409,43.214518308639526,6399,13.524590163934427,6463.636363636364
0.15,8948.719583468715,45.31419229507446,6696,13.182423435419441,6763.636363636364
0.2,9055.321353755775,44.78074097633362,6542,13.043478260869565,6608.080808080808
0.25,9789.02127376648,41.42436599731445,6113,14.203730272596843,6174.747474747474
0.3,9530.710602343177,42.54708981513977,6365,13.76912378303199,6429.292929292928
0.35,9846.311679246704,41.18333983421326,6035,14.494875549048317,6095.959595959595
0.4,9960.721136682707,40.7103054523468,6012,14.601769911504425,6072.727272727273
0.45,10573.40884869427,38.3513023853302,5642,15.44461778471139,5698.989898989899
0.5,11204.236751893106,36.192023515701294,5349,15.789473684210526,5403.030303030303
0.55,0,0,0,0,0
0.6,0,0,0,0,0
